,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
arm_100c.csv,0.8289472515043437,0.9019322467626913,0.894676923039137,0.8313705948351133,0.8398126606004713
calf_100c.csv,0.4590123636289485,0.7232366075528119,0.7147840285791167,0.5620652706968725,0.8599838644485953
random100s_1.csv,0.01866324340737022,0.024457248640596313,0.0438793862508487,0.018177074198822803,0.07226022844605812
random100s_2.csv,0.027454301587024256,0.03519270569796093,0.032930690584455684,0.04290628109685246,0.06340656520319415
stationary100s.csv,0.0054094181432064814,0.005064081763273781,0.004691075352942968,0.00369347853867562,0.00325699680259931
sub01_100c.csv,1.0,0.7597684187187489,0.8084175626503487,0.8626547579631136,0.6735771686912154
sub01_120c.csv,0.3108419339475473,0.40532486512446114,0.430164767873007,0.37835762801112843,0.35963494448387856
sub01_60c_1.csv,0.3150839802161799,0.34324785589116114,0.4038999989657143,0.2550132753365987,0.29158428652820834
sub01_60c_2.csv,0.2635709678470462,0.3486028421347161,0.4134703251897267,0.23244862648578338,0.285505766553696
sub02_100c.csv,0.7597684187187492,1.0,0.8952580439486632,0.86082193726546,0.9100991230585089
sub02_120c.csv,0.3265541183761185,0.4281629295237564,0.4760932083829719,0.3658304215154369,0.44136265400540975
sub02_60c.csv,0.35904795873179934,0.28232714903862527,0.259017754565763,0.24690669055845474,0.18063879618589027
sub03_100c.csv,0.8084175626503487,0.8952580439486632,0.9999999999999998,0.8733625123806383,0.9070910974349528
sub03_120c.csv,0.2706981378929678,0.4018698661216134,0.4548129374886905,0.3754207492420947,0.4777550671196785
sub04_100c.csv,0.8626547579631136,0.8608219372654602,0.8733625123806386,1.0000000000000002,0.8251930913670339
sub04_120c.csv,0.34188294182703716,0.47158347267405276,0.5024994452524078,0.36980796244329767,0.4585632337577806
sub05_100c.csv,0.6735771686912159,0.9100991230585089,0.9070910974349528,0.8251930913670337,1.0
sub05_120c.csv,0.2652052749738415,0.42459406563966223,0.4252720585786682,0.3274355462146315,0.5227860532307285
thick_100c.csv,0.5604701151803783,0.8887435363217829,0.8281734567814402,0.7333652181409653,0.9181533557315659
vibration.csv,0.5449287147000789,0.8259689942789034,0.7159777071423459,0.613170941939662,0.8185903070673595
