,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.520776144,0.55789548,0.677173815,0.53102661
sub02_100c.csv,0.520776144,1,0.690514716,0.594592158,0.77198781
sub03_100c.csv,0.55789548,0.690514716,1,0.604584293,0.830103559
sub04_100c.csv,0.677173815,0.594592158,0.604584293,1,0.628032154
sub05_100c.csv,0.53102661,0.77198781,0.830103559,0.628032154,1
sub01_120c.csv,0.042585687,0.074390677,0.095846254,0.052914887,0.075289174
sub02_120c.csv,0.053045288,0.067413691,0.099698288,0.052671446,0.110496692
sub03_120c.csv,0.038431882,0.085670607,0.097307368,0.059808776,0.087457963
sub04_120c.csv,0.059294552,0.090147544,0.104985761,0.043343819,0.107264939
sub05_120c.csv,0.057788796,0.105642138,0.135735355,0.070253427,0.147023938
sub01_60c_1.csv,0.049994528,0.056268287,0.07438046,0.056914169,0.067326803
sub01_60c_2.csv,0.039528812,0.08196977,0.101707117,0.055248472,0.087396784
sub02_60c.csv,0.039168051,0.042980651,0.053809119,0.028672585,0.051697663
random100s_1.csv,0.003064654,0.002078426,0.002237789,0.001825628,0.003207107
random100s_2.csv,0.005817416,0.004778349,0.007023857,0.005090741,0.007599696
stationary100s.csv,0.043296238,0.10119443,0.10102447,0.052819744,0.095248736
