ACC_X,ACC_Y,ACC_Z,PPG
33956,34572,40652,13465
33912,34536,40616,13465
33860,34588,40628,13468
33936,34600,40632,13467
33948,34628,40584,13469
33928,34524,40680,13479
33920,34608,40652,13494
33944,34556,40672,13512
33920,34572,40596,13534
33980,34488,40656,13551
33892,34536,40644,13572
33940,34524,40668,13593
33908,34532,40628,13617
33924,34520,40660,13634
33920,34552,40716,13621
33888,34464,40608,13591
33920,34520,40584,13568
33916,34516,40660,13558
33940,34480,40600,13556
33808,34364,40524,13561
33900,34508,40536,13570
33980,34564,40644,13578
33912,34524,40648,13582
33900,34468,40624,13591
33952,34572,40648,13606
33944,34560,40680,13622
33932,34548,40636,13644
33884,34456,40648,13667
33908,34500,40612,13688
33920,34512,40640,13711
33956,34596,40660,13737
33912,34484,40708,13752
33820,34272,40492,13740
33968,34668,40532,13718
33968,34580,40540,13702
33868,34460,40624,13693
33900,34492,40668,13692
33920,34556,40652,13695
33960,34532,40648,13705
33904,34556,40688,13716
33932,34568,40640,13721
33932,34580,40616,13733
33884,34564,40684,13748
33908,34604,40668,13766
33940,34540,40676,13791
33876,34596,40672,13816
34040,34460,40796,13843
34168,34372,40804,13875
34060,34560,40776,13902
34264,34836,40792,13930
34700,35404,40872,13941
34436,33284,41300,13931
33564,33132,40948,13914
34296,34240,40496,13901
34308,33776,40456,13895
34272,33520,40408,13895
34988,35848,40212,13899
34640,32748,40328,13905
33412,32052,40732,13912
33876,34176,40408,13921
33996,34012,40280,13931
33988,34280,40124,13948
33504,33804,40292,13963
32920,34108,40496,13978
33300,34208,40156,13995
33640,34376,40276,14010
33480,34284,40836,14026
33200,34580,41200,14044
32692,34072,41456,14062
32376,34232,41248,14078
32280,33976,41300,14076
32204,33660,40960,14053
32076,34120,40688,14036
32200,33732,40152,14024
32352,33468,39696,14017
31840,33588,40116,14016
30768,32328,40988,14023
30228,32836,41448,14026
30008,33128,41136,14036
30356,33304,40308,14047
30544,32868,39868,14063
31608,35116,38028,14100
29784,32548,38140,14122
29628,31632,40796,14141
30928,32100,40340,14168
29496,31388,40992,14189
29080,32712,39756,14205
29948,30012,39892,14226
30156,29696,39868,14229
30552,28976,39752,14217
30460,29448,40040,14193
29948,29564,39380,14172
29872,29120,40052,14168
29080,29496,39364,14171
28792,28924,39384,14185
29372,29436,39148,14201
28432,28860,38820,14214
28124,30024,39332,14216
27632,29796,38512,14219
26556,30144,37188,14224
24976,31368,37152,14224
23660,30716,36184,14225
25772,33236,34680,14221
23980,31096,35280,14214
23564,32588,35140,14209
23916,32096,35488,14194
24536,33540,35700,14150
25540,33204,33340,14075
24912,32312,33776,13979
25940,31576,33400,13923
26032,32260,34404,13877
25148,32792,35040,13845
24164,31692,34976,13815
24444,31704,34224,13782
24212,31008,34412,13746
24572,31096,34320,13713
25092,31252,34172,13686
25852,31360,33732,13669
25892,30884,33848,13656
25476,31176,33740,13644
25524,31332,34012,13631
25356,30900,34628,13623
25120,30612,35216,13610
25920,31180,35224,13585
26492,31328,35288,13529
26332,31560,35784,13466
26200,31664,35460,13415
23644,30632,36020,13373
23388,30572,35920,13339
24168,30432,35380,13305
24900,29988,34824,13276
25060,29380,34788,13243
24740,29312,34256,13209
24728,29392,34172,13184
24880,30124,33764,13170
24804,30476,33560,13164
24652,30428,33780,13162
24456,30044,33588,13164
24764,29224,33288,13158
24916,29688,33092,13145
24808,29840,33172,13136
24496,30256,33296,13122
24236,30392,33372,13081
24320,30280,33580,13025
23612,31044,33796,12980
23836,32124,34240,12957
23564,31600,34944,12945
22944,32284,34508,12938
25008,32860,34448,12934
27700,31700,34896,12936
27068,31680,34552,12943
25340,32128,34072,12963
24032,31720,34192,12987
24492,30792,34600,13009
25080,30628,34584,13026
25384,30504,34736,13042
25148,30912,35148,13061
25488,31016,35148,13083
25624,30748,35456,13110
25232,30608,35308,13118
24448,30260,35484,13104
