accX,accY,accZ
642,750,1024
642,750,1024
642,750,1024
709,667,1140
732,664,1178
732,664,1178
737,651,1168
737,651,1168
720,663,1099
716,669,1064
709,675,1031
703,682,1000
703,682,1000
704,678,960
704,678,960
706,675,953
709,671,940
713,668,935
717,665,931
717,665,931
712,670,917
711,668,912
712,666,909
708,671,906
708,671,908
710,668,908
708,676,907
706,679,906
706,679,906
706,679,906
703,682,913
701,684,911
701,685,906
704,680,912
707,682,914
707,680,914
707,680,924
711,674,923
710,677,922
710,677,922
711,674,917
711,674,917
707,680,914
701,684,912
701,686,911
699,686,909
694,690,908
694,690,908
689,696,901
688,700,902
683,702,901
685,697,901
683,701,901
679,707,902
682,705,903
689,695,903
688,695,904
691,695,900
691,695,900
691,698,903
693,694,903
694,694,904
693,695,905
690,698,901
690,699,901
685,702,904
685,702,902
682,702,903
682,702,903
679,706,899
677,706,900
677,705,903
678,705,903
678,705,903
671,710,905
672,707,900
672,707,900
668,709,897
669,709,897
665,717,894
665,716,896
665,716,896
668,713,899
668,710,898
667,709,898
668,709,902
668,708,900
669,709,899
670,708,900
677,707,904
678,706,903
675,706,917
661,677,970
438,848,1072
438,848,1072
178,737,1507
143,665,1618
-17,400,1814
-69,343,1905
-67,268,1951
-67,268,1951
-58,182,1955
-47,107,1961
-47,107,1961
-80,60,1978
-106,58,1991
-112,50,1990
-118,46,1992
-117,40,1992
-119,43,1994
-119,43,1994
-124,38,1994
-131,48,1992
-134,55,1994
-134,55,1994
-134,55,1994
-144,67,1995
-144,67,1995
-148,77,1993
-148,75,1992
-148,75,1992
-140,71,1996
-138,68,1997
-134,61,1997
-128,58,1995
-123,55,1995
-121,53,1996
-121,53,1996
-118,52,1997
-117,50,1996
-115,48,1998
-113,47,1998
-113,44,1998
-111,40,1999
-109,38,1997
-109,37,1999
-108,39,2000
-108,39,2000
-105,38,1998
-106,40,1998
-107,38,1996
-107,38,1996
-105,34,1994
-104,34,1996
-104,34,1996
-106,36,1998
-101,35,1997
-103,33,1999
-104,31,2003
-104,31,2003
-103,27,2001
-104,25,1999
-105,23,2001
-103,22,1998
-103,22,1998
-103,21,1999
-100,20,2000
-100,20,2000
-94,17,1995
-92,11,1995
-92,11,1995
-90,11,1997
-89,11,1996
-89,12,1996
-88,13,1995
-87,13,2000
-88,12,1998
-88,12,1998
-88,10,1997
-88,11,1998
-88,12,1999
-88,12,1999
-88,12,1999
-86,12,1999
-87,13,2001
-87,13,2000
-87,13,2000
-87,13,2000
-88,14,2001
-87,13,2000
-87,13,2002
-89,14,2000
-88,14,2000
-85,14,1999
-85,14,1999
-86,15,2000
-86,15,2001
-85,16,2000
-82,16,2003
-84,18,2002
-83,18,2002
-83,17,2000
-82,17,2000
-80,15,2000
-80,15,2000
-85,16,2000
-85,17,2000
-86,17,2002
-86,17,2002
-87,17,2000
-88,17,1999
-88,17,1999
-89,18,1998
-90,18,1999
-90,17,1998
-91,19,1998
-90,20,1998
-89,20,1999
-89,20,1998
-90,20,1998
-89,18,1998
-89,18,1998
-90,18,2000
-89,18,1999
-90,17,2000
-90,16,2000
-91,16,1998
-89,17,1999
-89,17,1999
-89,16,1998
-89,15,1997
-89,15,1997
-89,15,2001
-90,14,2002
-88,14,2001
-88,14,2001
-86,14,2001
-88,15,2005
-88,15,2005
-91,15,1999
-91,15,2000
-91,16,1999
-90,16,1998
-91,17,1999
-90,16,1998
-90,16,1998
-90,16,1997
-91,17,1997
-91,17,1997
-89,16,1997
-90,16,1997
-88,16,1997
-90,15,1997
-91,15,2001
-91,16,2001
-91,16,2001
-90,14,1999
-93,14,2000
-93,14,2000
-90,12,2000
-91,14,1999
-90,14,1997
-90,14,1997
-89,14,1996
-88,14,1996
-88,14,1996
-90,14,1997
-89,14,1996
-90,14,1997
-90,14,1997
-92,16,2000
-91,17,2002
-91,17,2002
-95,18,2000
-96,17,2001
-95,17,2001
-95,17,2001
-94,16,2000
-95,16,2001
-96,16,1999
-96,16,1999
-95,17,1999
-95,17,1999
-96,16,1997
-96,16,1997
-96,17,1996
-95,19,1995
-96,20,1995
-94,18,1995
-94,18,1995
-93,17,1995
-94,15,1997
-94,15,1997
-94,15,1997
-97,15,1996
-110,27,1993
-117,40,1993
-113,14,1994
-147,10,1972
-147,10,1972
-33,-104,1960
-33,-104,1960
134,-196,1897
134,-196,1897
297,-235,1857
385,-274,1795
436,-316,1705
536,-369,1610
665,-577,1189
541,-640,935
399,-691,751
-96,88,-20
-152,136,25
-190,166,67
-229,201,81
-264,219,82
-264,219,82
-267,236,71
-251,221,60
-233,184,50
-193,164,31
-136,109,24
-119,64,35
-119,64,35
-80,46,23
-80,46,23
-15,41,11
-4,25,6
-4,25,6
-4,25,6
-10,4,6
-9,-1,4
-10,-8,5
-12,-12,5
-12,-12,5
-11,-18,0
-12,-18,2
-16,-25,4
-18,-28,3
-18,-28,3
-19,-31,5
-19,-31,5
-18,-31,4
-19,-36,6
-19,-39,5
-20,-44,9
-20,-44,9
-17,-43,9
-18,-48,9
-13,-50,9
-12,-49,10
-12,-49,10
-12,-51,7
-11,-56,8
-8,-58,6
-8,-58,6
-8,-58,6
-5,-59,4
-1,-57,3
-2,-59,6
-1,-59,5
-1,-59,5
0,-62,6
0,-62,6
4,-65,11
4,-74,9
5,-82,9
3,-84,6
3,-84,6
4,-87,8
8,-94,6
8,-102,8
9,-114,10
9,-114,10
10,-123,12
11,-124,9
12,-124,9
12,-125,9
12,-125,9
15,-127,9
15,-127,9
18,-133,12
18,-133,12
21,-137,12
21,-142,13
21,-142,13
24,-145,11
27,-147,11
27,-147,10
28,-149,9
28,-149,9
28,-152,12
28,-153,13
28,-154,12
29,-154,13
30,-153,13
30,-153,13
30,-153,13
30,-155,14
30,-155,14
29,-156,13
27,-156,11
27,-156,11
30,-157,12
31,-157,11
29,-158,13
28,-158,11
28,-158,11
27,-157,10
27,-157,10
26,-157,11
25,-157,12
25,-157,13
24,-157,13
23,-158,13
22,-158,12
23,-158,13
22,-158,12
22,-158,13
21,-158,14
20,-158,15
22,-158,15
22,-157,13
22,-157,13
22,-157,13
18,-157,17
17,-157,16
14,-155,16
14,-153,16
14,-151,12
13,-148,11
12,-151,12
11,-153,9
9,-154,10
9,-156,13
10,-156,15
10,-156,15
12,-156,13
13,-154,12
13,-154,13
13,-156,16
13,-156,16
10,-157,16
11,-157,15
12,-155,15
11,-155,14
11,-155,14
11,-155,14
10,-155,14
10,-154,14
10,-154,14
11,-154,14
10,-155,14
8,-155,15
9,-154,13
8,-152,14
9,-148,13
8,-146,13
8,-146,13
4,-146,14
3,-148,15
1,-148,13
3,-149,13
3,-149,13
5,-150,13
5,-150,13
5,-150,13
5,-150,14
5,-152,12
4,-152,11
4,-152,11
3,-153,13
4,-148,11
1,-146,10
2,-143,9
2,-143,9
0,-146,12
0,-146,12
2,-146,14
1,-142,11
1,-142,11
-2,-139,12
-3,-138,12
-3,-139,13
-5,-138,13
-6,-139,12
-8,-136,12
-8,-136,12
-10,-125,9
-13,-122,10
-16,-120,11
-16,-120,11
-18,-119,9
-18,-118,9
-18,-118,9
-20,-110,7
-22,-109,9
-22,-109,9
-22,-91,7
-21,-86,8
-22,-78,6
-22,-70,8
-21,-69,7
-11,-66,20
-11,-66,20
-22,-45,17
-22,-45,17
-4,96,0
-20,154,20
-70,212,65
-135,270,91
-263,285,127
-428,298,260
-761,386,500
-753,480,510
-707,604,550
-798,607,688
-812,600,704
-832,585,717
-835,582,729
-842,579,717
-850,579,730
-834,582,704
-836,580,709
-831,581,699
-831,581,699
-830,585,704
-831,584,713
-830,590,719
-830,593,725
-830,593,725
-825,613,751
-826,615,758
-831,604,771
-843,595,790
-849,591,798
-856,589,801
-856,589,801
-867,575,823
-867,575,823
-870,575,832
-877,566,841
-892,548,851
-891,560,842
-891,560,842
-898,551,860
-902,544,869
-904,543,872
-906,536,881
-910,535,886
-911,531,891
-911,531,891
-918,523,904
-918,523,904
-918,523,904
-918,525,907
-919,526,905
-918,521,904
-919,521,906
-919,518,905
-918,516,903
-918,516,903
-921,509,902
-923,508,906
-924,508,906
-926,502,906
-926,502,906
-928,500,906
-928,500,906
-927,494,903
-930,491,904
-930,491,904
-930,493,902
-930,493,904
-931,495,902
-928,502,900
-928,497,906
-927,496,905
-927,496,905
-929,503,908
-929,503,908
-929,499,910
-928,499,913
-927,501,910
-926,501,907
-926,501,907
-929,500,911
-927,496,910
-927,496,910
-928,502,911
-928,498,913
-929,496,914
-928,496,915
-929,495,912
-929,495,912
-929,495,912
-930,490,922
-932,489,924
-930,491,921
-933,491,927
-933,491,928
-933,490,924
-933,490,924
-931,492,922
-933,490,918
-933,490,918
-930,490,926
-930,490,926
-933,490,923
-932,491,919
-932,491,925
-932,489,923
-932,489,923
-934,488,932
-937,486,938
-937,485,936
-937,486,935
-937,485,933
-936,484,931
-936,484,931
-936,484,932
-936,484,932
-936,483,931
-935,487,927
-935,487,925
-937,486,930
-939,486,930
-940,485,934
-940,484,934
-940,484,934
-944,483,942
-943,485,944
-942,488,938
-943,486,944
-943,486,944
-947,485,950
-944,485,941
-945,484,938
-945,484,933
-941,483,927
-942,482,927
-942,482,927
-939,485,933
-938,484,941
-942,484,946
-941,485,939
-942,483,945
-944,482,948
-944,482,948
-942,484,952
-943,482,944
-943,482,944
-941,484,938
-942,484,940
-943,485,935
-942,486,942
-945,483,940
-942,484,939
-942,484,939
-944,482,938
-945,481,945
-942,484,937
-942,484,937
-944,483,941
-942,483,942
-942,483,942
-946,470,955
-946,479,949
-949,476,951
-950,475,964
-952,476,961
-954,474,963
-954,474,963
-960,468,973
-971,456,990
-971,456,990
-978,444,1004
-985,435,1009
-1005,415,1020
-1049,-97,1079
-946,-177,1046
-348,-670,1165
-174,-712,1303
362,-690,981
412,-706,924
412,-706,924
480,-556,678
541,-674,674
549,-687,668
549,-687,668
671,-698,722
624,-696,734
633,-722,724
633,-722,724
633,-722,724
608,-747,723
623,-733,777
666,-687,818
675,-676,824
692,-666,830
740,-611,875
759,-585,907
764,-588,906
789,-560,920
789,-560,920
810,-539,938
810,-539,938
826,-522,956
837,-503,1010
827,-515,1019
827,-514,1030
827,-514,1030
817,-524,1054
821,-527,1056
815,-535,1059
818,-527,1068
815,-527,1073
814,-531,1080
812,-525,1087
810,-526,1090
810,-526,1090
810,-526,1090
818,-524,1094
818,-521,1096
820,-521,1096
823,-520,1100
822,-517,1100
824,-517,1098
824,-517,1098
824,-523,1101
822,-517,1102
824,-515,1102
823,-519,1098
823,-519,1098
819,-518,1101
823,-517,1102
822,-518,1103
823,-516,1105
827,-514,1105
824,-516,1105
825,-515,1107
826,-517,1103
828,-513,1105
827,-512,1105
826,-513,1106
826,-513,1106
827,-510,1102
827,-510,1102
826,-514,1104
822,-518,1107
822,-518,1107
824,-515,1107
826,-517,1101
823,-515,1104
822,-516,1099
824,-516,1095
820,-516,1093
820,-516,1093
816,-519,1091
813,-520,1094
818,-521,1095
824,-520,1085
825,-518,1084
825,-518,1084
827,-516,1083
828,-516,1082
826,-516,1079
828,-514,1081
827,-514,1086
825,-515,1088
825,-515,1088
828,-513,1088
827,-512,1084
826,-512,1084
827,-514,1084
826,-513,1089
827,-513,1089
827,-513,1089
827,-513,1087
826,-514,1089
826,-514,1089
828,-512,1088
827,-513,1090
830,-512,1088
830,-512,1088
830,-512,1091
829,-512,1092
829,-512,1092
828,-512,1096
830,-511,1099
832,-510,1095
830,-510,1093
829,-510,1092
829,-510,1092
829,-510,1092
830,-512,1092
831,-511,1087
827,-514,1087
827,-514,1087
827,-514,1087
827,-511,1089
830,-512,1088
827,-512,1084
826,-509,1084
827,-510,1079
826,-511,1082
826,-510,1089
829,-511,1089
829,-511,1084
828,-511,1089
829,-509,1090
829,-509,1090
830,-511,1087
828,-510,1088
828,-510,1091
828,-511,1087
828,-511,1087
823,-513,1098
825,-512,1094
827,-511,1090
826,-510,1089
827,-510,1088
826,-511,1091
826,-511,1091
827,-512,1085
827,-512,1085
827,-512,1088
824,-515,1091
826,-514,1094
827,-513,1095
829,-514,1095
827,-515,1092
828,-513,1090
828,-513,1090
827,-513,1091
827,-513,1091
828,-514,1091
828,-514,1091
826,-513,1087
826,-513,1087
826,-513,1087
826,-516,1087
824,-516,1087
825,-514,1086
