accX,accY,accZ,gyroX,gyroY,gyroZ
-0.5537109375,0.497802734375,0.9267578125,-17.7001953125,46.9970703125,-12.20703125
-0.6201171875,0.552978515625,1.023681640625,-59.63134765625,-1.15966796875,27.16064453125
-0.7255859375,0.5400390625,1.009033203125,-115.8447265625,-75.0732421875,75.37841796875
-0.81884765625,0.564697265625,0.6552734375,-209.28955078125,-160.58349609375,119.44580078125
-0.8515625,0.395751953125,0.103271484375,-320.37353515625,-251.40380859375,154.11376953125
-0.8583984375,-0.07421875,-0.3662109375,-419.189453125,-335.51025390625,163.818359375
-0.781494140625,-0.287353515625,-0.642822265625,-487.1826171875,-403.1982421875,143.1884765625
-0.69140625,-0.275634765625,-0.904052734375,-544.00634765625,-455.6884765625,105.5908203125
-0.59521484375,-0.407958984375,-0.91845703125,-625.244140625,-500.79345703125,55.908203125
-0.51806640625,-0.523193359375,-0.9892578125,-675.96435546875,-528.3203125,3.60107421875
-0.355712890625,0.1044921875,-1.689453125,-704.65087890625,-518.1884765625,-39.0625
-0.071533203125,0.587158203125,-1.978271484375,-735.9619140625,-447.6318359375,-38.26904296875
-0.105224609375,0.35302734375,-1.812744140625,-717.59033203125,-356.3232421875,26.79443359375
-0.230712890625,-0.32861328125,-1.669921875,-642.15087890625,-301.3916015625,136.77978515625
-0.33935546875,-1.85546875,-1.53173828125,-459.28955078125,-293.5791015625,263.12255859375
0.065673828125,-3.088134765625,-1.016357421875,-96.98486328125,-308.16650390625,379.82177734375
0.873291015625,-3.176025390625,-0.981201171875,354.43115234375,-288.63525390625,487.3046875
1.486083984375,-2.895263671875,-1.71923828125,683.65478515625,-208.31298828125,563.78173828125
1.413818359375,-3.022705078125,-1.621337890625,850.830078125,-35.82763671875,583.251953125
0.72900390625,-3.25390625,-1.12255859375,1045.83740234375,164.48974609375,528.50341796875
-1.763916015625,-1.747314453125,0.963623046875,1203.9794921875,256.7138671875,338.623046875
-2.514892578125,1.62841796875,2.887451171875,849.609375,169.00634765625,103.02734375
-1.3974609375,0.4482421875,2.53076171875,-17.27294921875,-86.60888671875,-57.2509765625
-0.55322265625,-2.0087890625,1.171142578125,-536.376953125,-255.859375,-177.30712890625
-0.47802734375,-3.385009765625,0.368408203125,-544.5556640625,-259.33837890625,-289.24560546875
-0.890869140625,-3.07080078125,-0.037109375,-277.4658203125,-204.345703125,-382.99560546875
-1.523193359375,-1.4033203125,-0.216552734375,12.87841796875,-168.51806640625,-438.41552734375
-1.873046875,0.611572265625,-0.8525390625,123.59619140625,-183.41064453125,-446.35009765625
-1.46044921875,2.449462890625,-1.544921875,12.14599609375,-225.03662109375,-409.912109375
-0.46875,2.89306640625,-1.150146484375,-238.46435546875,-200.13427734375,-330.4443359375
-1.178955078125,1.416259765625,0.312744140625,-658.8134765625,-183.41064453125,-287.78076171875
-1.85888671875,1.92431640625,0.706787109375,-704.04052734375,-196.533203125,-111.572265625
-1.54931640625,1.337890625,-0.29248046875,-505.0048828125,-217.83447265625,122.6806640625
